Name,ID,Gender,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8,Result
Student1,ID31,Male,9,7,7,8,9,6,9,7,Pass
Student2,ID32,Female,6,6,9,7,9,8,7,9,Pass
Student3,ID33,Female,7,9,7,7,8,6,8,9,Pass
Student4,ID34,Female,8,6,8,0,9,8,6,7,Fail
Student5,ID35,Male,8,9,8,6,8,9,8,7,Pass
Student6,ID36,Female,9,8,8,7,8,6,0,8,Fail
Student7,ID37,Female,0,6,6,0,6,9,6,7,Fail
Student8,ID38,Female,8,9,6,7,0,9,6,7,Fail
Student9,ID39,Male,8,0,9,8,9,6,7,8,Fail
Student10,ID210,Male,8,8,7,7,6,7,8,8,Pass
Student11,ID211,Male,8,7,9,9,9,8,8,7,Pass
Student12,ID212,Male,8,6,9,0,8,9,9,8,Fail
Student13,ID213,Female,9,9,7,0,0,8,8,6,Fail
Student14,ID214,Female,6,9,8,6,8,8,9,7,Pass
Student15,ID215,Female,9,9,8,7,8,7,9,7,Pass
Student16,ID216,Male,9,8,8,6,9,9,7,0,Fail
Student17,ID217,Female,7,0,6,9,7,9,9,8,Fail
Student18,ID218,Female,0,7,7,8,0,6,7,7,Fail
Student19,ID219,Female,6,7,6,7,6,6,9,9,Pass
Student20,ID220,Male,6,8,9,0,7,7,9,8,Fail
Student21,ID221,Male,9,7,7,8,9,9,8,9,Pass
Student22,ID222,Male,7,6,7,6,6,7,9,8,Pass
Student23,ID223,Male,9,7,9,7,7,7,0,8,Fail
Student24,ID224,Male,9,6,9,9,7,9,8,0,Fail
Student25,ID225,Male,7,9,8,8,9,8,9,6,Pass
Student26,ID226,Male,7,8,6,6,7,9,8,7,Pass
Student27,ID227,Female,8,8,9,7,6,7,9,9,Pass
Student28,ID228,Male,7,8,8,6,8,6,7,0,Fail
Student29,ID229,Female,0,7,8,9,9,7,8,8,Fail
Student30,ID230,Female,7,6,6,8,7,8,6,8,Pass
Student31,ID231,Male,8,6,8,6,0,9,8,7,Fail
Student32,ID232,Male,6,6,8,7,8,9,7,9,Pass
Student33,ID233,Male,6,9,9,9,7,9,9,8,Pass
Student34,ID234,Female,6,6,6,6,7,8,8,6,Pass
Student35,ID235,Female,8,6,0,0,7,8,6,7,Fail
Student36,ID236,Male,9,7,0,7,8,9,9,6,Fail
Student37,ID237,Male,8,0,8,6,0,7,6,7,Fail
Student38,ID238,Female,6,9,6,6,9,8,8,9,Pass
Student39,ID239,Female,9,9,8,8,8,8,8,6,Pass
Student40,ID240,Male,9,8,9,0,7,7,7,7,Fail
Student41,ID241,Female,9,7,0,8,7,7,6,7,Fail
Student42,ID242,Female,7,9,7,7,0,8,7,6,Fail
Student43,ID243,Male,7,7,7,8,9,6,7,7,Pass
Student44,ID244,Female,8,9,6,0,7,8,6,7,Fail
Student45,ID245,Female,6,8,7,0,7,9,8,6,Fail
Student46,ID246,Female,0,7,6,9,7,8,6,8,Fail
Student47,ID247,Male,7,8,6,7,6,7,9,9,Pass
Student48,ID248,Male,6,8,9,8,6,6,7,6,Pass
Student49,ID249,Female,8,6,9,0,9,6,7,8,Fail
Student50,ID250,Female,9,6,6,9,8,9,9,7,Pass
Student51,ID251,Male,8,9,8,9,7,7,7,6,Pass
Student52,ID252,Male,7,6,7,9,8,8,7,6,Pass
Student53,ID253,Male,8,6,9,6,7,9,9,9,Pass
Student54,ID254,Female,8,6,8,7,8,6,8,9,Pass
Student55,ID255,Female,8,6,6,8,9,8,9,8,Pass
Student56,ID256,Male,7,7,9,7,8,8,6,9,Pass
Student57,ID257,Male,7,8,7,7,9,7,9,6,Pass
Student58,ID258,Male,8,9,8,8,8,6,6,6,Pass
Student59,ID259,Female,8,6,7,9,9,9,9,9,Pass
Student60,ID260,Female,7,6,8,9,7,8,8,8,Pass
Student61,ID261,Female,6,6,7,7,7,8,8,6,Pass
Student62,ID262,Female,7,7,6,6,8,6,0,9,Fail
Student63,ID263,Male,7,8,6,6,9,7,9,8,Pass
Student64,ID264,Female,7,8,9,9,0,8,6,8,Fail
Student65,ID265,Male,9,7,7,6,7,9,8,8,Pass
Student66,ID266,Male,6,8,6,9,8,7,6,0,Fail
Student67,ID267,Male,8,6,9,8,9,6,6,6,Pass
Student68,ID268,Female,8,6,6,0,6,6,9,6,Fail
Student69,ID269,Male,8,9,8,6,8,6,8,0,Fail
Student70,ID270,Female,9,6,6,7,7,6,9,8,Pass
Student71,ID271,Female,6,6,6,7,6,6,7,0,Fail
Student72,ID272,Male,6,7,8,8,8,9,9,9,Pass
Student73,ID273,Female,6,8,7,8,7,9,8,6,Pass
Student74,ID274,Male,6,7,6,6,0,7,6,7,Fail
Student75,ID275,Male,6,8,9,9,7,7,8,9,Pass
Student76,ID276,Male,0,7,0,9,6,9,6,9,Fail
Student77,ID277,Male,6,6,7,9,7,9,8,9,Pass
Student78,ID278,Female,6,8,8,6,9,9,6,7,Pass
Student79,ID279,Female,7,6,6,7,8,7,9,8,Pass
Student80,ID280,Female,7,8,9,7,6,9,9,9,Pass
Student81,ID281,Female,6,7,6,7,8,6,9,6,Pass
Student82,ID282,Female,7,7,7,8,9,8,7,0,Fail
Student83,ID283,Male,6,9,8,9,7,8,7,8,Pass
Student84,ID284,Female,8,7,6,9,7,8,6,7,Pass
Student85,ID285,Female,7,9,9,6,7,9,8,6,Pass
Student86,ID286,Male,8,7,9,8,8,8,7,7,Pass
Student87,ID287,Male,6,6,8,7,6,9,6,9,Pass
Student88,ID288,Female,9,7,6,8,7,8,0,6,Fail
Student89,ID289,Female,7,9,8,7,9,6,6,8,Pass
Student90,ID290,Female,0,7,0,9,6,9,7,7,Fail
Student91,ID291,Female,0,9,9,8,6,9,9,7,Fail
Student92,ID292,Male,9,7,6,8,9,9,6,7,Pass
Student93,ID293,Male,6,7,9,8,6,9,6,7,Pass
Student94,ID294,Male,7,9,7,8,6,6,6,8,Pass
Student95,ID295,Female,9,8,6,9,7,6,7,6,Pass
Student96,ID296,Male,6,6,6,8,8,9,0,9,Fail
Student97,ID297,Male,9,9,9,6,6,9,7,6,Pass
Student98,ID298,Male,8,8,9,8,9,6,9,7,Pass
Student99,ID299,Female,9,9,8,9,6,0,8,7,Fail
Student100,ID1100,Female,8,6,8,7,6,8,8,8,Pass
Student101,ID1101,Female,7,6,6,9,8,8,9,6,Pass
Student102,ID1102,Female,7,7,7,9,9,6,0,8,Fail
Student103,ID1103,Male,7,6,8,6,0,7,0,8,Fail
Student104,ID1104,Male,7,6,6,7,6,9,8,9,Pass
Student105,ID1105,Male,7,8,6,0,7,8,6,9,Fail
Student106,ID1106,Female,6,9,8,6,7,9,7,7,Pass
Student107,ID1107,Male,9,6,7,8,6,8,8,8,Pass
Student108,ID1108,Female,7,7,7,6,9,7,7,0,Fail
Student109,ID1109,Male,8,9,6,7,6,6,8,0,Fail
Student110,ID1110,Male,8,0,9,6,9,9,9,6,Fail
Student111,ID1111,Female,8,8,9,8,9,8,8,6,Pass
Student112,ID1112,Female,6,6,7,7,9,7,9,8,Pass
Student113,ID1113,Male,6,6,9,6,0,6,9,6,Fail
Student114,ID1114,Female,9,9,9,8,7,9,9,8,Pass
Student115,ID1115,Female,6,9,7,6,8,9,6,8,Pass
Student116,ID1116,Female,6,6,7,9,9,6,9,9,Pass
Student117,ID1117,Male,6,6,8,7,7,6,8,8,Pass
Student118,ID1118,Male,8,9,6,6,0,6,8,9,Fail
Student119,ID1119,Female,6,9,7,8,7,7,9,6,Pass
Student120,ID1120,Male,8,9,9,6,8,8,6,6,Pass
Student121,ID1121,Female,8,7,9,9,6,9,8,9,Pass
Student122,ID1122,Male,6,8,7,0,9,7,7,0,Fail
Student123,ID1123,Female,9,9,8,8,9,7,7,8,Pass
Student124,ID1124,Male,9,6,9,8,8,8,9,0,Fail
Student125,ID1125,Female,6,9,7,9,7,9,8,8,Pass
Student126,ID1126,Female,7,8,8,7,7,6,7,7,Pass
Student127,ID1127,Male,7,9,6,9,6,9,8,6,Pass
Student128,ID1128,Male,7,7,9,9,6,9,6,7,Pass
Student129,ID1129,Male,9,8,8,6,7,9,6,6,Pass
Student130,ID1130,Female,7,9,6,7,6,7,9,9,Pass
Student131,ID1131,Male,7,7,7,7,7,8,0,9,Fail
Student132,ID1132,Male,8,0,7,7,8,8,7,9,Fail
Student133,ID1133,Male,6,6,9,9,0,8,9,6,Fail
Student134,ID1134,Female,7,8,9,9,9,7,6,9,Pass
Student135,ID1135,Female,8,6,9,7,9,6,0,7,Fail
Student136,ID1136,Female,7,7,8,8,8,8,6,0,Fail
Student137,ID1137,Male,9,9,8,8,7,9,9,6,Pass
Student138,ID1138,Female,7,9,8,0,6,8,9,8,Fail
Student139,ID1139,Female,8,7,6,7,9,7,6,6,Pass
Student140,ID1140,Male,9,9,7,6,7,9,9,9,Pass
Student141,ID1141,Female,9,7,9,7,7,8,8,8,Pass
Student142,ID1142,Female,6,9,0,8,6,9,7,0,Fail
Student143,ID1143,Male,7,8,6,8,7,6,9,7,Pass
Student144,ID1144,Female,9,8,7,8,8,9,6,6,Pass
Student145,ID1145,Female,8,6,0,6,8,9,9,8,Fail
Student146,ID1146,Female,8,9,7,8,7,7,9,9,Pass
Student147,ID1147,Male,9,7,8,9,6,8,8,8,Pass
Student148,ID1148,Male,9,9,7,9,6,9,6,7,Pass
Student149,ID1149,Female,7,6,7,8,8,6,7,9,Pass
Student150,ID1150,Female,0,6,7,6,6,8,6,8,Fail
Student151,ID1151,Female,8,6,7,7,7,9,8,6,Pass
Student152,ID1152,Male,8,9,8,0,6,6,8,7,Fail
Student153,ID1153,Female,6,8,9,9,7,9,9,6,Pass
Student154,ID1154,Female,7,8,8,8,7,9,8,6,Pass
Student155,ID1155,Female,9,6,7,6,8,8,6,8,Pass
Student156,ID1156,Female,6,9,7,9,7,8,6,9,Pass
Student157,ID1157,Male,9,0,9,8,8,6,6,8,Fail
Student158,ID1158,Female,9,7,8,6,7,9,7,8,Pass
Student159,ID1159,Male,9,6,8,9,7,7,7,6,Pass
Student160,ID1160,Female,6,6,7,0,9,6,8,9,Fail
Student161,ID1161,Female,9,9,9,7,8,8,8,0,Fail
Student162,ID1162,Male,9,7,8,0,9,7,6,0,Fail
Student163,ID1163,Female,8,8,9,6,6,6,6,9,Pass
Student164,ID1164,Female,6,6,8,9,6,7,9,8,Pass
Student165,ID1165,Male,9,8,7,6,8,7,6,6,Pass
Student166,ID1166,Male,8,9,8,6,9,8,6,0,Fail
Student167,ID1167,Female,0,9,8,9,7,0,0,8,Fail
Student168,ID1168,Female,9,6,8,0,9,9,0,6,Fail
Student169,ID1169,Male,8,8,0,7,6,6,9,6,Fail
Student170,ID1170,Male,8,7,7,7,9,7,0,9,Fail
Student171,ID1171,Male,7,6,7,6,8,9,9,9,Pass
Student172,ID1172,Female,9,7,9,8,7,0,9,0,Fail
Student173,ID1173,Male,6,6,0,7,9,6,9,9,Fail
Student174,ID1174,Male,9,6,6,7,0,9,9,9,Fail
Student175,ID1175,Male,7,8,6,6,8,9,6,9,Pass
Student176,ID1176,Female,9,6,6,9,8,9,6,8,Pass
Student177,ID1177,Male,7,8,9,8,7,7,7,8,Pass
Student178,ID1178,Male,8,9,9,8,6,8,6,0,Fail
Student179,ID1179,Female,8,0,6,7,8,8,8,9,Fail
Student180,ID1180,Female,9,8,0,7,6,8,6,6,Fail
Student181,ID1181,Female,6,6,8,0,7,6,8,0,Fail
Student182,ID1182,Male,0,6,9,9,7,7,6,8,Fail
Student183,ID1183,Male,9,9,7,7,7,8,9,6,Pass
Student184,ID1184,Female,9,9,7,8,7,9,0,7,Fail
Student185,ID1185,Male,6,9,7,6,6,7,8,9,Pass
Student186,ID1186,Female,6,6,7,6,8,6,8,6,Pass
Student187,ID1187,Female,9,7,6,7,7,7,7,8,Pass
Student188,ID1188,Male,8,8,9,8,9,6,6,8,Pass
Student189,ID1189,Male,8,8,8,8,9,8,8,0,Fail
